
RMS,Kurtosis,CrestFactor,P2P,CurrentAmp,DominantFreq,SpectralEnergy,Temp,Label
5.189,-0.324,1.691,7.812,0.00,7.32,980.69,32.94,0
4.869,-1.353,1.759,8.351,0.66,8.07,999.66,33.00,0
5.019,-0.379,2.124,10.295,0.57,10.35,1047.90,33.00,0
4.782,0.042,2.130,9.714,0.00,3.70,932.25,33.00,0
4.544,0.330,2.379,10.334,0.64,5.05,991.07,33.00,0
4.592,-0.518,1.863,8.156,0.69,4.17,896.48,33.06,0
4.558,0.397,2.035,8.819,1.08,7.88,946.17,33.00,0
4.462,-0.986,1.907,7.947,0.95,5.58,969.45,33.00,0
4.918,-1.000,1.843,8.728,0.00,5.84,984.54,33.06,0
4.017,-0.804,1.861,6.880,0.95,5.39,790.26,33.12,0
3.926,-0.701,1.824,6.942,0.58,5.25,704.84,33.06,0
4.408,0.115,2.070,8.258,1.03,3.87,752.85,33.06,0
4.504,1.118,2.451,10.652,0.91,6.15,767.25,33.06,0
5.118,-0.855,1.820,8.776,1.12,8.12,985.35,33.12,0
4.373,0.024,1.967,7.633,1.60,13.16,1014.83,33.12,0
5.256,-0.719,1.973,10.261,0.21,12.61,1044.02,33.12,0
3.804,1.942,2.393,8.489,1.05,4.39,628.86,33.12,0
5.355,-0.455,1.824,8.130,0.00,7.99,1032.89,33.12,0
4.696,-0.356,1.818,7.964,0.85,7.57,919.76,33.12,0
4.496,-0.562,1.886,8.001,1.15,8.77,897.96,33.19,0
4.966,-0.590,1.777,8.509,0.18,8.71,1028.91,33.19,0
3.736,-1.164,1.583,5.338,0.41,5.91,744.35,33.25,0
4.232,0.070,2.043,7.785,0.00,3.84,662.01,33.19,0
4.855,0.189,2.064,8.997,0.00,8.76,1055.79,33.25,0
4.290,-0.555,1.766,7.304,0.58,8.26,872.53,33.25,0
4.717,0.310,2.158,9.207,0.40,7.28,823.45,33.25,0
4.354,-0.349,1.660,5.946,0.20,6.84,828.49,33.25,0
3.456,-1.009,1.543,4.562,0.68,6.39,680.65,33.25,0
5.560,-0.690,1.738,8.262,1.05,8.12,997.64,33.25,0
4.411,-0.206,2.088,8.761,0.83,4.45,949.63,33.25,0
4.484,-0.841,1.976,8.141,0.71,7.00,961.35,33.31,0
4.569,-0.483,2.009,8.834,0.65,6.19,1013.18,33.31,0
4.463,-0.245,2.097,8.898,0.35,4.86,964.66,33.31,0
4.515,0.044,2.090,8.198,0.55,5.04,960.10,33.31,0
4.625,0.051,2.163,9.268,1.07,6.30,971.56,33.31,0
4.771,0.174,2.118,9.674,0.47,5.94,1091.85,33.38,0
4.565,-0.597,1.986,8.224,1.59,4.75,916.48,33.38,0
4.344,-0.305,1.952,7.815,0.71,4.08,900.28,33.38,0
4.420,0.086,1.961,7.910,1.74,3.58,815.93,33.38,0
4.371,-0.483,1.559,5.624,0.50,6.83,769.00,33.38,0
5.291,-0.307,1.885,9.029,0.95,6.65,1053.45,33.38,0
4.737,-0.601,1.942,8.653,0.93,6.36,1049.13,33.44,0
4.557,-0.303,2.021,8.685,0.77,4.73,1027.66,33.38,0
4.627,0.212,2.086,9.024,1.80,5.06,1011.49,33.44,0
4.664,0.752,2.249,9.847,0.83,6.69,1091.35,33.38,0
4.575,-0.742,2.016,8.599,0.44,4.66,991.26,33.44,0
4.714,-0.059,2.302,10.046,0.97,6.42,1064.40,33.44,0
4.695,-0.189,2.139,9.707,0.30,7.40,1116.26,33.38,0
4.555,-0.232,1.907,7.860,1.79,5.39,1050.57,33.44,0
5.515,0.732,2.694,14.267,1.01,4.52,1090.88,33.44,0
4.564,0.469,2.169,9.028,0.42,4.82,982.29,33.44,0
4.513,-0.436,1.970,8.365,1.01,6.76,977.19,33.44,0
4.756,-0.437,2.078,9.811,0.89,3.69,1019.24,33.44,0
4.110,-0.422,1.873,7.239,0.69,5.30,942.84,33.50,0
4.549,-0.056,2.150,9.351,0.90,6.64,985.42,33.50,0
4.513,-0.264,2.132,8.903,0.18,5.49,935.15,33.50,0
4.657,-0.318,2.105,8.739,0.54,4.52,953.31,33.50,0
4.709,-0.020,2.056,8.982,0.58,4.00,1008.46,33.56,0
4.515,0.219,2.091,8.375,0.72,6.49,910.05,33.56,0
4.779,0.014,2.101,9.517,0.68,6.91,1062.30,33.50,0
4.588,-0.101,2.136,9.237,0.81,6.78,1049.23,33.50,0
4.483,-0.459,2.001,8.412,0.29,7.18,1035.44,33.56,0
4.630,0.077,2.165,8.941,0.54,6.44,1075.82,33.56,0
4.533,0.367,2.330,9.907,0.91,5.17,925.71,33.56,0
4.644,-0.087,2.187,9.676,0.92,6.36,1032.68,33.56,0
4.590,0.028,2.101,8.792,0.96,6.68,1025.36,33.56,0
4.574,-0.151,1.980,8.550,0.00,7.76,1014.99,33.62,0
4.664,0.482,2.085,9.341,0.20,5.83,998.29,33.62,0
4.655,0.375,2.049,8.610,2.43,4.53,921.76,33.62,0
4.974,0.400,2.098,9.248,1.33,6.57,1039.74,33.62,0
4.444,-0.312,1.923,8.161,0.77,4.83,940.66,33.69,0
5.303,-0.133,1.897,8.580,0.00,3.83,1104.85,33.62,0
5.330,1.223,2.788,13.958,3.34,4.20,1124.81,33.62,0
4.587,-0.193,1.926,7.978,0.00,5.62,880.94,33.69,0
4.666,-0.160,2.165,9.551,0.30,5.50,960.92,33.69,0
4.463,0.040,2.300,9.842,0.68,6.17,1032.88,33.69,0
4.801,-0.648,1.916,8.488,0.97,5.83,1043.57,33.69,0
4.798,0.162,2.116,9.546,0.77,6.51,1064.78,33.69,0
4.782,0.106,2.183,10.064,0.72,5.24,1071.86,33.69,0
4.744,0.301,1.998,8.383,0.97,5.55,989.19,33.69,0
4.433,-0.389,1.990,8.310,0.42,8.44,1002.63,33.69,0
4.580,-0.569,1.886,8.539,0.40,6.29,1039.53,33.75,0
4.577,0.870,2.224,8.933,0.47,6.18,1052.17,33.75,0
4.654,-0.259,2.010,8.896,0.47,5.18,1014.81,33.75,0
4.641,-0.241,2.016,8.671,2.09,6.07,1031.22,33.75,0
4.387,-0.299,1.983,8.232,1.04,6.43,993.87,33.75,0
4.773,-0.070,2.052,8.980,0.43,5.33,1057.18,33.75,0
4.380,-0.207,2.186,9.108,0.00,5.59,1000.67,33.75,0
4.584,-0.178,1.978,8.561,0.75,6.99,1065.75,33.81,0
4.586,0.137,2.080,8.622,0.76,7.94,1035.63,33.75,0
4.566,-0.203,2.101,8.958,0.93,5.20,991.88,33.81,0
4.822,0.333,2.274,10.253,0.70,6.93,1152.81,33.81,0
4.582,-0.221,2.153,9.035,0.24,6.56,1006.66,33.81,0
4.943,-0.179,2.120,10.108,0.37,6.64,1230.80,33.81,0
